Column1;Column2;Column3;Column4;Column5;Column6;Column7
qpiMMJDaFbsrcrFeGRtf;Clásica Provincia de Chiriquí;;Clásica Provincia de Chiriquí;;;
Sy1yHxm9trc5AphIq7my;Classic Grand Besançon Doubs;;Classic Grand Besançon Doubs;;;
hC5Ifz5C5v1Q00yPvll2;Classic Loire Atlantique;;Classic Loire Atlantique;;;
IdEEH3VEyRQKnZ6WEjol;Classic Lorient Agglomération (GP Plouay);;Classic Lorient Agglomération (GP Plouay);;;
OGwK8nbKNbu5m6piUYau;Classic Var;;Classic Var;;;
560VvnAXV0OwIYi1lvFs;Classic Velox Adélie de Vitré;;Classic Velox Adélie de Vitré;;;
FoJNjtj1ex8AemXhlGmo;Clàssica Camp de Morvedre;;Clàssica Camp de Morvedre;;;
N6hR3zKH2EHgNnhXZUfa;Clàssica CV 1969 - Gran Premi València;;Clàssica CV - Gran Premi València;;;
ZNbbxt6M8j8G0yJ7bkPt;Clàssica Terres de l'Ebre;;Clàssica Terres de l'Ebre;;;
Ya0nzwsI8LJzLTDHiYrZ;Classique Dunkerque / GP Hauts de France;;Classique Dunkerque / GP Hauts de France;;;
cMlovIn93rdUWRvfptZN;Copenhagen Sprint;;Copenhagen Sprint;;;
DnhlcUCroLfRLjUEvKuo;Copenhagen Sprint femenino;;Copenhagen Sprint Women;;;
7EaQbPD8WMt62RnUrsDb;Coppa Agostoni - Giro delle Brianze;;Coppa Agostoni - Giro delle Brianze;;;
qfFa7TNMsJlrVg6a2ELP;Coppa Bernocchi - GP Banco BPM;;Coppa Bernocchi - GP Banco BPM;;;
66mCQKYJ10FQhemNpQue;Coppa Città di San Daniele;;Coppa Città di San Daniele;;;
sPuPtjDUEu6sy447HmWg;Coppa della Pace;;Coppa della Pace;;;
jpzLVkJSvF75GFzaYnwn;Coppa Sabatini;;Coppa Sabatini;;;
1x03Ty91oNjOzr3Lxx3j;Course de Solidarnosc et des Champions Olympiques;;Course de Solidarnosc et des Champions Olympiques;;;
IYTeiZ9kHMu05ZsG8ZQ8;CRO Race;;CRO Race;;;
Pp9tk2umqckG18rPC88i;Cuatro Días de Dunkerque;4 Jours de Dunkerque;4 Jours de Dunkerque;;;
CuuKI2prTjhXvVzhpfv8;Cyclassics Hamburgo;;Cyclassics Hamburg;;;
O7xuBodAwNoOzhDqHlNY;Desafio das Américas;;Desafio das Américas;;;
icMI5o2umHmwIaAwj97g;Dhofar Classic;;Dhofar Classic;;;
BZtVX5rhaxW4gtnv9coY;Dooko_a Mazowsza;;Tour of Mazovia;;;
fcTGheEq34mrIkBAWrcR;Dorpenomloop Rucphen;;Dorpenomloop Rucphen;;;
qkAHvzo6G8KbLjHeqPr4;Due Giorni Marchigiana - GP Città di Castelfidardo;;Due Giorni Marchigiana - GP Città di Castelfidardo;;;
nMbxha7Arbd1FdxZUQug;Due Giorni Marchigiana - GP Santa Rita;;Due Giorni Marchigiana - GP Santa Rita;;;
yrlPLNriNxi80AmoGF2w;Durango-Durango Emakumeen Saria;;Durango-Durango Emakumeen Saria;;;
jocfGwQgw5JwUqOqhnQn;Dwars door de Westhoek;;Dwars door de Westhoek;;;
kRRClsEOAXjGigmhHvFn;Dwars door het Hageland;;Dwars door het Hageland;;;
F15IAHY9uwZx47vvIrCU;Dwars door Wingene;;Dwars door Wingene;;;
8mQAjZdXR6stQ2AzLKgS;E3 Saxo Classic Harelbeke;;E3 Saxo Classic Harelbeke;;;
hI5WjSSBjnFPfOdoUcEV;Egmont Race Women;;Egmont Race Women;;;
0LYfgZbKCEiB5a0eZyF4;Ename Samyn Classic;;Ename Samyn Classic;;;
j2REhQvcK4cHM0dZE64d;EPZ Omloop van Borsele;;EPZ Omloop van Borsele;;;
ebEVJOxP4F3kGmv0uLRx;Eschborn-Frankfurt;;Eschborn-Frankfurt;;;
RrtAIWw1V1AnU1yWIswT;Estrella de Bessèges;Étoile de Bessèges;Étoile de Bessèges;;;
a7oUBNf4NSKPzFUlsRak;Famenne Ardenne Classic;;Famenne Ardenne Classic;;;
SNs9zxGSufqFcLsa6LFk;Faun-Ardèche Classic;;Faun-Ardèche Classic;;;
MkEhjXwT3OhOO1xKtjKF;Faun-Drôme Classic;;Faun-Drôme Classic;;;
iKBdFAFakpWPg746zwtB;Festival Elsy Jacobs - Ciudad de Luxemburgo;;Festival Elsy Jacobs - City of Luxembourg;;;
MEBV8IP9n6BMaoO0FNs5;Festival Elsy Jacobs - Garnich;;Festival Elsy Jacobs - Garnich;;;
dlvz7PKVwVAJvC7mvhSK;Figueira Champions Classic;;Figueira Champions Classic;;;
8jKwi6UVEMCPBP3qofHZ;Flanders Tomorrow Tour;;Flanders Tomorrow Tour;;;
naJFBEfLJk0hCKAXsP6B;Flandrien 0.0 Classic (Super-8);;Flandrien 0.0 Classic (Super-8);;;
Igu0hEEjR1guSj1h7LGh;Flecha de Brabante;Brabantse Pijl;Brabantse Pijl;;;
G0fwKYG9wc9YELCTnePe;Flecha de Brabante femenina;Brabantse Pijl;Brabantse Pijl;;;
syFrX7H8269fIaES4Mb4;Flecha Valona;;Flèche Wallonne;;;
KAVqBjCzjsQR6WbLAecF;Flecha Valona femenina;Flèche Wallonne Femmes;Flèche Wallonne Femmes;;;
wDoKOKMLwuVHwqrj5rma;Flèche Ardennaise;;Flèche Ardennaise;;;
LI7vQ4pWQ0Q389JqcqbF;Flèche du Sud;;Flèche du Sud;;;
9XPVr8z57BfrYfMJAPai;Fyen Rundt;;Fyen Rundt;;;
I8jEH45Mk85o9OkHoP3G;Giro de Italia;;Giro d'Italia;;;
lkXsD0gBvYcS7poyYgIg;Giro de Italia femenino;;Giro d'Italia Women;;;
HzQzw6J06Kzvwt7nmxCd;Giro de los Apeninos;Giro dell'Appennino;Giro dell'Appennino;;;
0spPZuEtBfNApsJxOHqP;Giro de los Apeninos femenino;Giro dell'Appennino Donne;Giro dell'Appennino Donne;;;
dV3NqrVj9oqsGoIBQXQM;Giro del Belvedere;;Giro del Belvedere;;;
b73pswPKBlL1qAwPF3Yt;Giro del Medio Brenta;;Giro del Medio Brenta;;;
zOLUpSKhgMuHCClW9U5o;Giro del Veneto;;Giro del Veneto;;;
56aOwl9Qq9SQ2MLgDbbi;Giro dell'Emilia;;Giro dell'Emilia;;;
10QSsvdyNCy7aYueQC1i;Giro dell'Emilia femenino;;Giro dell'Emilia Donne;;;
J7MSw6W7RRS3nGMCQYRQ;Giro della Magna Grecia;;Giro della Magna Grecia;;;
ZLqWKPZicoeXLd8lWvBK;Giro della Provincia di Biella;;Giro della Provincia di Biella;;;
OjrhuYxAphyNKvxSh87c;Giro della Regione Friuli Venezia Giulia;;Giro della Regione Friuli Venezia Giulia;;;
wBHoSZfvZxevrX3kWufG;Giro Della Romagna;;Giro Della Romagna;;;
fGhvakb6C8SGIdCLyNrL;Giro della Toscana;;Giro della Toscana;;;
O0bkfpB8NwIGL5LgvtUP;Giro della Valle d'Aosta;;Giro della Valle d'Aosta;;;
cicC0vRXup8bPHr4KgkR;Giro di Reggio Calabria;;Giro di Reggio Calabria;;;
jJgiRXcFTIS5j2tzA7Jf;Giro di Sardegna;;Giro di Sardegna;;;
2HBSQ7WPRyllLFKMnnjq;Giro Mediterraneo in Rosa;;Giro Mediterraneo in Rosa;;;
WceHUBiLcq06ZS03tRGn;Giro Next Gen;;Giro Next Gen;;;
SonwvSOiEcwDV2xf5bTu;Gooikse Pijl;;Gooikse Pijl;;;
GW0fvNGPGIzaLnh1YTBQ;GP Anicolor;;GP Anicolor;;;
Dx4K7n1COp1mVr215YPt;GP Beiras e Serra da Estrela;;GP Beiras e Serra da Estrela;;;
Y0dCyFY0DBmRzMi3eVRM;GP Brda-Collio;;GP Brda-Collio;;;
nfEYyPO7cteHdqZsM1dG;GP Capodarco;;GP Capodarco;;;
74n5isQgrQ85Mov1ptJ5;GP Castellón - Ruta de la Cerámica;;GP Castellón - Ruta de la Cerámica;;;
QxxiZtrAliXxQiV7lxSR;GP Ciudad de Eibar;;GP Ciudad de Eibar;;;
FSs79L4hfSOTlJejXaV5;GP Colli Rovescalesi - Trofeo Enertrade;;GP Colli Rovescalesi - Trofeo Enertrade;;;
qTplFp1l2xZeKxcdtywE;GP de Fourmies / La Voix du Nord;;GP de Fourmies / La Voix du Nord;;;
QIQcetEKNsRC7rIwAT0t;GP de la Villa de Argel;;GP de la Villa de Argel;;;
6NbeLIBFDcuCgOf3XDVp;GP de Nogent-sur-Oise;;GP de Nogent-sur-Oise;;;
8iR8Q24hDpZZcdswHX8T;GP Denain;;GP Denain;;;
SEl8MaplhdCNwC2IkYBR;GP Emilia;;GP Emilia;;;
XrUexbdD3PPpOSvgxX8y;GP Gippingen;;GP Gippingen;;;
Czt3f4X60E4A44KlHnHE;GP Herning;;GP Herning;;;
yb4tjWeNJ4kYkcCKLS0z;GP Industria & Artigianato-Larciano;;GP Industria & Artigianato-Larciano;;;
zi8qc5voMdYvWMjQRfoU;GP Industrie del Marmo;;GP Industrie del Marmo;;;
D4wl72Uhze9QmEBT6nCj;GP Jean-Pierre Monseré;;GP Jean-Pierre Monseré;;;
qeNuPjvBsUPegB8qH0Em;GP Kranj;;GP Kranj;;;
dqupSRYkldWEsP4I19Mm;GP Liberazione;;GP Liberazione;;;
eW4T1t2zSF4aVRSAE2EK;GP Liberazione Donne;;GP Liberazione Donne;;;
Egstdj7vCvzNeabShZNx;GP Lucien Van Impe;;GP Lucien Van Impe;;;
VRaGcTVljAbo1ZEglDkp;GP Mazda Schelkens;;GP Mazda Schelkens;;;
GXYfZA3T3ts40D8UXljr;GP Miguel Indurain;;GP Miguel Indurain;;;
xDnSvI7lYJw2iYEyLrVr;GP Montréal;;GP Montréal;;;
y5AQbvzfzsJxnRlPf1ju;GP Palio del Recioto;;GP Palio del Recioto;;;
mWQDeB3Ud7CHDGCX5YH4;GP Primavera-Ontur;;GP Primavera-Ontur;;;
zBkVddn6lCLoKMTPrHsl;GP Québec;;GP Québec;;;
EzOP85PL2zwG6Oer7bXS;GP Rik Van Looy;;GP Rik Van Looy;;;
fw7uClktrEQTsciUrQId;GP Schellebelle;;GP Schellebelle;;;
WofHacOLThhdV79Ygb3B;GP Slovenian Istria;;GP Slovenian Istria;;;
hLQJXQravOcZDlQFZCyB;GP Sportivi di Poggiana;;GP Sportivi di Poggiana;;;
4F8OIuGR7z9zJa86hbto;GP Torres Vedras - Trofeu Joaquim Agostinho;;GP Torres Vedras - Trofeu Joaquim Agostinho;;;
zP8heo7y0zt66ebuwQAQ;GP Vorarlberg;;GP Vorarlberg;;;
46D7skKM60DzIZnoRBXu;GP Yvonne Reynders;;GP Yvonne Reynders;;;
TuHxQYN9jDwmQvrSjEZP;Gracia Orlová;;Gracia Orlová;;;
je3fvnN7zfnhVlMBVULW;Gran Piemonte;;Gran Piemonte;;;
DTMkE5TmHg9YDF470qky;Gran Premio del Lazio;;Gran Premio del Lazio;;;
vv4hzPpepo7CgvpfFms1;Gran Premio La Marsellesa;;Gran Prix de la Marseillaise;;;
98XtnPnkgE9kvpkshsue;Gran Premio New York City;;Gran Premio New York City;;;
xKIGCSjgG8SE7vbTg7bF;Gran Prix Chiriquí;;Gran Prix Chiriquí;;;
Tme0dkaIPUhOHog6nX37;Gran Prix Chitre;;Gran Prix Chitre;;;
AjCxtAuJ6He2FFUu0Msz;Gran Prix Panamá;;Gran Prix Panamá;;;
rR3HkEWO138bjBLP4gYv;Grand Prix Alaiye;;Grand Prix Alaiye;;;
zHdpVvjNe4nGzmFaxD11;Grand Prix Alaiye femenino;;Grand Prix Alaiye Women;;;
wf1m6HYrrnubSkgiiFiu;Grand Prix Alanya;;Grand Prix Alanya;;;
raBQmJSrCH0GBNsDQ32N;Grand Prix Antalya;;Grand Prix Antalya;;;
hwYhjhzhPRNgi3BomwpY;Grand Prix Apollon Temple;;Grand Prix Apollon Temple;;;
